director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,tags
Stephen Hopkins,Lisa Wilcox,Kelly Jo Minter,Matthew Borlenghi,Fantasy Horror Romance Thriller,a nightmare on elm street 5: the dream child,Fantasy Horror Romance Thriller a nightmare on elm street 5: the dream child Lisa Wilcox Kelly Jo Minter Matthew Borlenghi Stephen Hopkins
Walt Becker,Ryan Reynolds,Curtis Armstrong,Erik Estrada,Comedy Romance,van wilder: party liaison,Comedy Romance van wilder: party liaison Ryan Reynolds Curtis Armstrong Erik Estrada Walt Becker
Darren Aronofsky,Mark Margolis,John D'Leo,Ajay Naidu,Drama Sport,the wrestler,Drama Sport the wrestler Mark Margolis John D'Leo Ajay Naidu Darren Aronofsky
King Vidor,Joseph Cotten,Lillian Gish,Jennifer Jones,Drama Romance Western,duel in the sun,Drama Romance Western duel in the sun Joseph Cotten Lillian Gish Jennifer Jones King Vidor
Christopher Guest,John Michael Higgins,Catherine O'Hara,Michael McKean,Comedy,best in show,Comedy best in show John Michael Higgins Catherine O'Hara Michael McKean Christopher Guest
John Carpenter,Donald Pleasence,Adrienne Barbeau,Tom Atkins,Action Sci-Fi,escape from new york,Action Sci-Fi escape from new york Donald Pleasence Adrienne Barbeau Tom Atkins John Carpenter
Spike Lee,Tisha Campbell-Martin,Ossie Davis,Bill Nunn,Comedy Drama Musical,school daze,Comedy Drama Musical school daze Tisha Campbell-Martin Ossie Davis Bill Nunn Spike Lee
Fred Savage,Lochlyn Munro,Brian Doyle-Murray,Tamala Jones,Comedy Family,daddy day camp,Comedy Family daddy day camp Lochlyn Munro Brian Doyle-Murray Tamala Jones Fred Savage
Sammo Kam-Bo Hung,Sammo Kam-Bo Hung,Richard Norton,Rachel Blakely,Action Comedy Crime,mr. nice guy,Action Comedy Crime mr. nice guy Sammo Kam-Bo Hung Richard Norton Rachel Blakely Sammo Kam-Bo Hung
Christopher Guest,Michael McKean,Christopher Guest,Laura Harris,Comedy Music,a mighty wind,Comedy Music a mighty wind Michael McKean Christopher Guest Laura Harris Christopher Guest
Donald Petrie,Julia Roberts,Lili Taylor,Conchata Ferrell,Comedy Drama Romance,mystic pizza,Comedy Drama Romance mystic pizza Julia Roberts Lili Taylor Conchata Ferrell Donald Petrie
Peter Howitt,Jeanne Tripplehorn,Kevin McNally,John Lynch,Comedy Drama Fantasy Romance,sliding doors,Comedy Drama Fantasy Romance sliding doors Jeanne Tripplehorn Kevin McNally John Lynch Peter Howitt
Rusty Cundieff,Corbin Bernsen,Clarence Williams III,David Alan Grier,Comedy Horror Thriller,tales from the hood,Comedy Horror Thriller tales from the hood Corbin Bernsen Clarence Williams III David Alan Grier Rusty Cundieff
Kevin Macdonald,David Oyelowo,Simon McBurney,Abby Mukiibi Nkaaga,Biography Drama History Thriller,the last king of scotland,Biography Drama History Thriller the last king of scotland David Oyelowo Simon McBurney Abby Mukiibi Nkaaga Kevin Macdonald
Dominique Othenin-Girard,Donald Pleasence,Tamara Glynn,Troy Evans,Horror Thriller,halloween 5,Horror Thriller halloween 5 Donald Pleasence Tamara Glynn Troy Evans Dominique Othenin-Girard
Richard Linklater,Matthew McConaughey,Brandon Smith,Rick Dial,Comedy Crime Drama,bernie,Comedy Crime Drama bernie Matthew McConaughey Brandon Smith Rick Dial Richard Linklater
Jean-Jacques Mantello,Charlotte Rampling,Daryl Hannah,unknown,Adventure Documentary Short,dolphins and whales 3d: tribes of the ocean,Adventure Documentary Short dolphins and whales 3d: tribes of the ocean Charlotte Rampling Daryl Hannah unknown Jean-Jacques Mantello
Ed Harris,John Heard,Bud Cort,Amy Madigan,Biography Drama,pollock,Biography Drama pollock John Heard Bud Cort Amy Madigan Ed Harris
Risa Bramon Garcia,Janeane Garofalo,Dave Chappelle,Gaby Hoffmann,Comedy Drama Romance,200 cigarettes,Comedy Drama Romance 200 cigarettes Janeane Garofalo Dave Chappelle Gaby Hoffmann Risa Bramon Garcia
Brian Klugman,J.K. Simmons,Bradley Cooper,Olivia Wilde,Drama Mystery Romance Thriller,the words,Drama Mystery Romance Thriller the words J.K. Simmons Bradley Cooper Olivia Wilde Brian Klugman
Matt Piedmont,Will Ferrell,Adrian Martinez,Luis E. Carazo,Comedy Western,casa de mi padre,Comedy Western casa de mi padre Will Ferrell Adrian Martinez Luis E. Carazo Matt Piedmont
Raymond De Felitta,Ezra Miller,Curtiss Cook,Dominik García-Lorido,Comedy Drama,city island,Comedy Drama city island Ezra Miller Curtiss Cook Dominik García-Lorido Raymond De Felitta
John Michael McDonagh,Don Cheadle,Fionnula Flanagan,Wale Ojo,Comedy Crime Thriller,the guard,Comedy Crime Thriller the guard Don Cheadle Fionnula Flanagan Wale Ojo John Michael McDonagh
Deb Hagan,Drake Bell,Alona Tal,Haley Bennett,Comedy,college,Comedy college Drake Bell Alona Tal Haley Bennett Deb Hagan
Sofia Coppola,Kirsten Dunst,Kathleen Turner,Scott Glenn,Drama Romance,the virgin suicides,Drama Romance the virgin suicides Kirsten Dunst Kathleen Turner Scott Glenn Sofia Coppola
Mark Herman,Jim Broadbent,Annette Badland,Brenda Blethyn,Comedy Drama Music Romance,little voice,Comedy Drama Music Romance little voice Jim Broadbent Annette Badland Brenda Blethyn Mark Herman
Zach Cregger,Hugh M. Hefner,Windell Middlebrooks,Raquel Alessi,Comedy Romance,miss march,Comedy Romance miss march Hugh M. Hefner Windell Middlebrooks Raquel Alessi Zach Cregger
Zach Braff,Jim Parsons,Josh Gad,Michael Weston,Comedy Drama,wish i was here,Comedy Drama wish i was here Jim Parsons Josh Gad Michael Weston Zach Braff
Mark Tarlov,Sarah Michelle Gellar,Dylan Baker,Lawrence Gilliard Jr.,Comedy Drama Fantasy Romance,simply irresistible,Comedy Drama Fantasy Romance simply irresistible Sarah Michelle Gellar Dylan Baker Lawrence Gilliard Jr. Mark Tarlov
John Cameron Mitchell,John Cameron Mitchell,Miriam Shor,Andrea Martin,Comedy Drama Music Musical,hedwig and the angry inch,Comedy Drama Music Musical hedwig and the angry inch John Cameron Mitchell Miriam Shor Andrea Martin John Cameron Mitchell
Sheldon Lettich,Antoni Corone,Ryan Bollman,Todd Susman,Action Drama,only the strong,Action Drama only the strong Antoni Corone Ryan Bollman Todd Susman Sheldon Lettich
Jon Knautz,Rachel Alig,Monda Scott,Alexis Kendra,Drama Horror Mystery Thriller,goddess of love,Drama Horror Mystery Thriller goddess of love Rachel Alig Monda Scott Alexis Kendra Jon Knautz
Billy Ray,Hayden Christensen,Rosario Dawson,Cas Anvar,Drama History,shattered glass,Drama History shattered glass Hayden Christensen Rosario Dawson Cas Anvar Billy Ray
David Atkins,Chelcie Ross,Lynne Thigpen,Polly Noonan,Comedy Crime Drama Thriller,novocaine,Comedy Crime Drama Thriller novocaine Chelcie Ross Lynne Thigpen Polly Noonan David Atkins
Patrick Stettner,Stockard Channing,Tony Devon,Frederick Weller,Drama Thriller,the business of strangers,Drama Thriller the business of strangers Stockard Channing Tony Devon Frederick Weller Patrick Stettner
Sam Peckinpah,William Holden,Warren Oates,L.Q. Jones,Action Adventure Western,the wild bunch,Action Adventure Western the wild bunch William Holden Warren Oates L.Q. Jones Sam Peckinpah
Jonathan Levine,Mary-Kate Olsen,Aaron Yoo,Method Man,Comedy Drama Romance,the wackness,Comedy Drama Romance the wackness Mary-Kate Olsen Aaron Yoo Method Man Jonathan Levine
Michael Crichton,Lesley-Anne Down,Michael Elphick,Pamela Salem,Adventure Crime Drama Thriller,the great train robbery,Adventure Crime Drama Thriller the great train robbery Lesley-Anne Down Michael Elphick Pamela Salem Michael Crichton
Lynne Ramsay,Samantha Morton,Bryan Dick,Paul Popplewell,Drama,morvern callar,Drama morvern callar Samantha Morton Bryan Dick Paul Popplewell Lynne Ramsay
Sylvio Tabet,Michael Berryman,Kari Wuhrer,Marc Singer,Action Adventure Fantasy Sci-Fi,beastmaster 2: through the portal of time,Action Adventure Fantasy Sci-Fi beastmaster 2: through the portal of time Michael Berryman Kari Wuhrer Marc Singer Sylvio Tabet
Rick Bieber,Aidan Quinn,Kendrick Cross,Sammy Nagi Njuguna,Biography Drama Sport,the 5th quarter,Biography Drama Sport the 5th quarter Aidan Quinn Kendrick Cross Sammy Nagi Njuguna Rick Bieber
Claude Chabrol,Benoît Magimel,Nathalie Baye,Mélanie Doutey,Drama,the flower of evil,Drama the flower of evil Benoît Magimel Nathalie Baye Mélanie Doutey Claude Chabrol
Shana Feste,Jennifer Ehle,Zoë Kravitz,Cara Seymour,Drama Romance,the greatest,Drama Romance the greatest Jennifer Ehle Zoë Kravitz Cara Seymour Shana Feste
Wayne Wang,Bingbing Li,Russell Wong,Ji-hyun Jun,Drama History,snow flower and the secret fan,Drama History snow flower and the secret fan Bingbing Li Russell Wong Ji-hyun Jun Wayne Wang
Joey Lauren Adams,Tim Blake Nelson,Diane Ladd,Ritchie Montgomery,Drama Romance,come early morning,Drama Romance come early morning Tim Blake Nelson Diane Ladd Ritchie Montgomery Joey Lauren Adams
Peter Cattaneo,James Nesbitt,Olivia Williams,Peter McNamara,Comedy Crime Romance,lucky break,Comedy Crime Romance lucky break James Nesbitt Olivia Williams Peter McNamara Peter Cattaneo
Fred Zinnemann,Meryl Streep,Jane Fonda,Vanessa Redgrave,Drama,julia,Drama julia Meryl Streep Jane Fonda Vanessa Redgrave Fred Zinnemann
S.R. Bindler,Matthew McConaughey,Scott Glenn,Sarah Wright,Comedy,"surfer, dude","Comedy surfer, dude Matthew McConaughey Scott Glenn Sarah Wright S.R. Bindler"
Tony Kaye,Noam Chomsky,Pat Buchanan,Bill Baird,Documentary,lake of fire,Documentary lake of fire Noam Chomsky Pat Buchanan Bill Baird Tony Kaye
Greg Marcks,Henry Thomas,Barbara Hershey,Shawn Hatosy,Comedy Crime Drama,11:14,Comedy Crime Drama 11:14 Henry Thomas Barbara Hershey Shawn Hatosy Greg Marcks
Perry Lang,Catherine Bell,Kevin Tighe,Tim Guinee,Action Drama Thriller,men of war,Action Drama Thriller men of war Catherine Bell Kevin Tighe Tim Guinee Perry Lang
Jake Goldberger,Pruitt Taylor Vince,M. Emmet Walsh,Robert Wahlberg,Drama Mystery Thriller,don mckay,Drama Mystery Thriller don mckay Pruitt Taylor Vince M. Emmet Walsh Robert Wahlberg Jake Goldberger
Stefan Ruzowitzky,Charlie Hunnam,Olivia Wilde,Sissy Spacek,Crime Drama Thriller,deadfall,Crime Drama Thriller deadfall Charlie Hunnam Olivia Wilde Sissy Spacek Stefan Ruzowitzky
Vic Sarin,Connie Nielsen,Aidan Quinn,John Bell,Drama Family,a shine of rainbows,Drama Family a shine of rainbows Connie Nielsen Aidan Quinn John Bell Vic Sarin
William Kaufman,Drew Waters,Sean Cook,Cole Hauser,Action Thriller,the hit list,Action Thriller the hit list Drew Waters Sean Cook Cole Hauser William Kaufman
David Cronenberg,Debbie Harry,Leslie Carlson,Reiner Schwarz,Horror Mystery Sci-Fi Thriller,videodrome,Horror Mystery Sci-Fi Thriller videodrome Debbie Harry Leslie Carlson Reiner Schwarz David Cronenberg
Cédric Klapisch,Romain Duris,Cécile De France,Iddo Goldberg,Comedy Drama,l'auberge espagnole,Comedy Drama l'auberge espagnole Romain Duris Cécile De France Iddo Goldberg Cédric Klapisch
Kate Barker-Froyland,Anne Hathaway,Shawn Parsons,Li Jun Li,Drama Music,song one,Drama Music song one Anne Hathaway Shawn Parsons Li Jun Li Kate Barker-Froyland
Barbet Schroeder,Ryan Gosling,Chris Penn,Agnes Bruckner,Crime Mystery Thriller,murder by numbers,Crime Mystery Thriller murder by numbers Ryan Gosling Chris Penn Agnes Bruckner Barbet Schroeder
Martin Koolhoven,Yorick van Wageningen,Tygo Gernandt,Martijn Lakemeier,Drama History War,winter in wartime,Drama History War winter in wartime Yorick van Wageningen Tygo Gernandt Martijn Lakemeier Martin Koolhoven
Charles Matthau,Billy Burke,Michael Jai White,Bill Duke,Comedy Crime Thriller,freaky deaky,Comedy Crime Thriller freaky deaky Billy Burke Michael Jai White Bill Duke Charles Matthau
John Frankenheimer,Jeanne Moreau,Paul Scofield,Michel Simon,Thriller War,the train,Thriller War the train Jeanne Moreau Paul Scofield Michel Simon John Frankenheimer
Christopher M. Bessette,Mira Sorvino,John Billingsley,Trieu Tran,Drama Thriller,trade of innocents,Drama Thriller trade of innocents Mira Sorvino John Billingsley Trieu Tran Christopher M. Bessette
Prachya Pinkaew,Jon Foo,Nathan Jones,Johnny Nguyen,Action Crime Drama Thriller,the protector,Action Crime Drama Thriller the protector Jon Foo Nathan Jones Johnny Nguyen Prachya Pinkaew
Gary Sinyor,Sean Pertwee,Frank Finlay,Samuel West,Comedy,stiff upper lips,Comedy stiff upper lips Sean Pertwee Frank Finlay Samuel West Gary Sinyor
Gurinder Chadha,Archie Panjabi,Parminder Nagra,Anupam Kher,Comedy Drama Romance Sport,bend it like beckham,Comedy Drama Romance Sport bend it like beckham Archie Panjabi Parminder Nagra Anupam Kher Gurinder Chadha
John Sayles,Miguel Ferrer,Edie Falco,Timothy Hutton,Drama Romance,sunshine state,Drama Romance sunshine state Miguel Ferrer Edie Falco Timothy Hutton John Sayles
Preston A. Whitmore II,Wesley Jonathan,Wayne Brady,Eva Marcille,Action Sport,crossover,Action Sport crossover Wesley Jonathan Wayne Brady Eva Marcille Preston A. Whitmore II
Ashish R. Mohan,Asin,Mithun Chakraborty,Johnny Lever,Action Comedy,khiladi 786,Action Comedy khiladi 786 Asin Mithun Chakraborty Johnny Lever Ashish R. Mohan
Jaume Balagueró,Jonathan D. Mellor,Pablo Rosso,Andrea Ros,Horror,[rec] 2,Horror [rec] 2 Jonathan D. Mellor Pablo Rosso Andrea Ros Jaume Balagueró
Stewart Raffill,Kayla Jackson,Alexis Biesiada,Kayla Raparelli,Musical,standing ovation,Musical standing ovation Kayla Jackson Alexis Biesiada Kayla Raparelli Stewart Raffill
George Roy Hill,Eileen Brennan,Robert Shaw,Ray Walston,Comedy Crime Drama,the sting,Comedy Crime Drama the sting Eileen Brennan Robert Shaw Ray Walston George Roy Hill
Hugh Hudson,Alice Krige,Ben Cross,John Gielgud,Biography Drama Sport,chariots of fire,Biography Drama Sport chariots of fire Alice Krige Ben Cross John Gielgud Hugh Hudson
Darren Grant,Cicely Tyson,Kimberly Elise,Tamara Taylor,Comedy Drama Romance,diary of a mad black woman,Comedy Drama Romance diary of a mad black woman Cicely Tyson Kimberly Elise Tamara Taylor Darren Grant
Scott Hicks,Noah Taylor,Armin Mueller-Stahl,Nicholas Bell,Biography Drama Music Romance,shine,Biography Drama Music Romance shine Noah Taylor Armin Mueller-Stahl Nicholas Bell Scott Hicks
Joseph Gordon-Levitt,Joseph Gordon-Levitt,Scarlett Johansson,Tony Danza,Comedy Drama Romance,don jon,Comedy Drama Romance don jon Joseph Gordon-Levitt Scarlett Johansson Tony Danza Joseph Gordon-Levitt
Clint Eastwood,Clint Eastwood,Richard Bull,John Hillerman,Mystery Western,high plains drifter,Mystery Western high plains drifter Clint Eastwood Richard Bull John Hillerman Clint Eastwood
Terry Zwigoff,Scarlett Johansson,Steve Buscemi,T.J. Thyne,Comedy Drama,ghost world,Comedy Drama ghost world Scarlett Johansson Steve Buscemi T.J. Thyne Terry Zwigoff
Richard Eyre,Kate Winslet,Jim Broadbent,Kris Marshall,Biography Drama Romance,iris,Biography Drama Romance iris Kate Winslet Jim Broadbent Kris Marshall Richard Eyre
William Sachs,Stephen Macht,Avery Schreiber,Angelo Rossitto,Comedy Sci-Fi,galaxina,Comedy Sci-Fi galaxina Stephen Macht Avery Schreiber Angelo Rossitto William Sachs
Christophe Barratier,Jean-Baptiste Maunier,François Berléand,Gérard Jugnot,Drama Music,the chorus,Drama Music the chorus Jean-Baptiste Maunier François Berléand Gérard Jugnot Christophe Barratier
Émile Gaudreault,Paul Sorvino,Luke Kirby,Claudia Ferri,Comedy Drama,mambo italiano,Comedy Drama mambo italiano Paul Sorvino Luke Kirby Claudia Ferri Émile Gaudreault
James Cox,Alexis Dziena,Louis Lombardi,Franky G,Crime Drama Mystery Thriller,wonderland,Crime Drama Mystery Thriller wonderland Alexis Dziena Louis Lombardi Franky G James Cox
Spike Lee,Ruby Dee,John Savage,Danny Aiello,Drama,do the right thing,Drama do the right thing Ruby Dee John Savage Danny Aiello Spike Lee
James Toback,Sarah Michelle Gellar,Eric Stoltz,Joey Lauren Adams,Comedy Crime Drama Romance Thriller,harvard man,Comedy Crime Drama Romance Thriller harvard man Sarah Michelle Gellar Eric Stoltz Joey Lauren Adams James Toback
Aki Kaurismäki,Jean-Pierre Léaud,Kati Outinen,Jean-Pierre Darroussin,Comedy Drama,le havre,Comedy Drama le havre Jean-Pierre Léaud Kati Outinen Jean-Pierre Darroussin Aki Kaurismäki
Gaspar Noé,Philippe Nahon,Albert Dupontel,Jo Prestia,Crime Drama Mystery Thriller,irreversible,Crime Drama Mystery Thriller irreversible Philippe Nahon Albert Dupontel Jo Prestia Gaspar Noé
Hitoshi Matsumoto,Lindsay Kay Hayward,Hitoshi Matsumoto,Shinobu Terajima,Comedy Drama,r100,Comedy Drama r100 Lindsay Kay Hayward Hitoshi Matsumoto Shinobu Terajima Hitoshi Matsumoto
Rakeysh Omprakash Mehra,Anupam Kher,Steven Mackintosh,Madhavan,Comedy Drama History Romance,rang de basanti,Comedy Drama History Romance rang de basanti Anupam Kher Steven Mackintosh Madhavan Rakeysh Omprakash Mehra
Collin Schiffli,Kim Shaw,John Heard,David Dastmalchian,Drama,animals,Drama animals Kim Shaw John Heard David Dastmalchian Collin Schiffli
George Ratliff,Jim Gaffigan,Cree Kelly,Mike Eshaq,Action Comedy Drama Thriller,salvation boulevard,Action Comedy Drama Thriller salvation boulevard Jim Gaffigan Cree Kelly Mike Eshaq George Ratliff
David Wain,Jon Hamm,Ken Marino,Ron Silver,Comedy Romance,the ten,Comedy Romance the ten Jon Hamm Ken Marino Ron Silver David Wain
Shane Meadows,Bob Hoskins,Paddy Considine,Shane Meadows,Comedy Drama,a room for romeo brass,Comedy Drama a room for romeo brass Bob Hoskins Paddy Considine Shane Meadows Shane Meadows
Morten Tyldum,Aksel Hennie,Synnøve Macody Lund,Julie R. Ølgaard,Crime Drama Thriller,headhunters,Crime Drama Thriller headhunters Aksel Hennie Synnøve Macody Lund Julie R. Ølgaard Morten Tyldum
Jon Wright,Russell Tovey,Richard Coyle,Bronagh Gallagher,Comedy Horror Sci-Fi Thriller,grabbers,Comedy Horror Sci-Fi Thriller grabbers Russell Tovey Richard Coyle Bronagh Gallagher Jon Wright
Michael McGowan,Campbell Scott,Adam Butcher,Gordon Pinsent,Comedy Drama Sport,saint ralph,Comedy Drama Sport saint ralph Campbell Scott Adam Butcher Gordon Pinsent Michael McGowan
Liv Ullmann,Samantha Morton,Jessica Chastain,Colin Farrell,Drama Romance,miss julie,Drama Romance miss julie Samantha Morton Jessica Chastain Colin Farrell Liv Ullmann
Jeannot Szwarc,Teresa Wright,Bill Erwin,George Voskovec,Drama Fantasy Romance,somewhere in time,Drama Fantasy Romance somewhere in time Teresa Wright Bill Erwin George Voskovec Jeannot Szwarc
Rohan Sippy,Abhishek Bachchan,Bipasha Basu,Prateik,Action Crime Drama Thriller,dum maaro dum,Action Crime Drama Thriller dum maaro dum Abhishek Bachchan Bipasha Basu Prateik Rohan Sippy
James Wan,Lin Shaye,Barbara Hershey,Leigh Whannell,Fantasy Horror Thriller,insidious: chapter 2,Fantasy Horror Thriller insidious: chapter 2 Lin Shaye Barbara Hershey Leigh Whannell James Wan
Darren Lynn Bousman,Emmanuelle Vaugier,Tony Nappo,Shawnee Smith,Horror Mystery,saw ii,Horror Mystery saw ii Emmanuelle Vaugier Tony Nappo Shawnee Smith Darren Lynn Bousman
Dan Trachtenberg,Bradley Cooper,John Gallagher Jr.,Sumalee Montano,Drama Horror Mystery Sci-Fi Thriller,10 cloverfield lane,Drama Horror Mystery Sci-Fi Thriller 10 cloverfield lane Bradley Cooper John Gallagher Jr. Sumalee Montano Dan Trachtenberg
Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Comedy Documentary,jackass: the movie,Comedy Documentary jackass: the movie Bam Margera Steve-O Chris Pontius Jeff Tremaine
David F. Sandberg,Billy Burke,Amiah Miller,Gabriel Bateman,Horror,lights out,Horror lights out Billy Burke Amiah Miller Gabriel Bateman David F. Sandberg
Henry Joost,Johanna Braddy,Sprague Grayden,Christopher Nicholas Smith,Horror,paranormal activity 3,Horror paranormal activity 3 Johanna Braddy Sprague Grayden Christopher Nicholas Smith Henry Joost
Stiles White,Lin Shaye,Shelley Hennig,Daren Kagasoff,Fantasy Horror,ouija,Fantasy Horror ouija Lin Shaye Shelley Hennig Daren Kagasoff Stiles White
Chuck Russell,John Saxon,Heather Langenkamp,Jennifer Rubin,Action Fantasy Horror Thriller,a nightmare on elm street 3: dream warriors,Action Fantasy Horror Thriller a nightmare on elm street 3: dream warriors John Saxon Heather Langenkamp Jennifer Rubin Chuck Russell
Joel Edgerton,Busy Philipps,Allison Tolman,Wendell Pierce,Mystery Thriller,the gift,Mystery Thriller the gift Busy Philipps Allison Tolman Wendell Pierce Joel Edgerton
Eugenio Derbez,Eugenio Derbez,Jessica Lindsey,Hugo Stiglitz,Comedy Drama,instructions not included,Comedy Drama instructions not included Eugenio Derbez Jessica Lindsey Hugo Stiglitz Eugenio Derbez
Henry Joost,Matt Shively,Brendon Eggertsen,Alisha Boe,Horror,paranormal activity 4,Horror paranormal activity 4 Matt Shively Brendon Eggertsen Alisha Boe Henry Joost
Henry Koster,Richard Burton,Jean Simmons,Victor Mature,Drama History,the robe,Drama History the robe Richard Burton Jean Simmons Victor Mature Henry Koster
Blake Edwards,Burt Kwouk,Herbert Lom,Catherine Schell,Comedy Crime Mystery,the return of the pink panther,Comedy Crime Mystery the return of the pink panther Burt Kwouk Herbert Lom Catherine Schell Blake Edwards
Rachel Talalay,Johnny Depp,Tom Arnold,Yaphet Kotto,Comedy Fantasy Horror Thriller,freddy's dead: the final nightmare,Comedy Fantasy Horror Thriller freddy's dead: the final nightmare Johnny Depp Tom Arnold Yaphet Kotto Rachel Talalay
Patty Jenkins,Charlize Theron,Bruce Dern,Pruitt Taylor Vince,Biography Crime Drama Thriller,monster,Biography Crime Drama Thriller monster Charlize Theron Bruce Dern Pruitt Taylor Vince Patty Jenkins
Christopher Landon,Richard Cabral,Gloria Sandoval,Molly Ephraim,Fantasy Horror Thriller,paranormal activity: the marked ones,Fantasy Horror Thriller paranormal activity: the marked ones Richard Cabral Gloria Sandoval Molly Ephraim Christopher Landon
David Lynch,Anthony Hopkins,Anne Bancroft,Dexter Fletcher,Biography Drama,the elephant man,Biography Drama the elephant man Anthony Hopkins Anne Bancroft Dexter Fletcher David Lynch
Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Denis O'Hare,Biography Drama,dallas buyers club,Biography Drama dallas buyers club Matthew McConaughey Jennifer Garner Denis O'Hare Jean-Marc Vallée
David Gelb,Olivia Wilde,Mark Duplass,Donald Glover,Horror Sci-Fi Thriller,the lazarus effect,Horror Sci-Fi Thriller the lazarus effect Olivia Wilde Mark Duplass Donald Glover David Gelb
Christopher Nolan,Callum Rennie,Thomas Lennon,Jorja Fox,Mystery Thriller,memento,Mystery Thriller memento Callum Rennie Thomas Lennon Jorja Fox Christopher Nolan
Mike Flanagan,James Lafferty,Rory Cochrane,Garrett Ryan,Horror Mystery,oculus,Horror Mystery oculus James Lafferty Rory Cochrane Garrett Ryan Mike Flanagan
Kevin Smith,Ethan Suplee,Jason Mewes,Brian O'Halloran,Comedy,clerks ii,Comedy clerks ii Ethan Suplee Jason Mewes Brian O'Halloran Kevin Smith
Stephen Daldry,Julie Walters,Gary Lewis,Jamie Draven,Drama Music,billy elliot,Drama Music billy elliot Julie Walters Gary Lewis Jamie Draven Stephen Daldry
Nat Faxon,Steve Carell,Liam James,Jim Rash,Comedy Drama,the way way back,Comedy Drama the way way back Steve Carell Liam James Jim Rash Nat Faxon
George Jackson,William Schallert,Tisha Campbell-Martin,Helen Martin,Comedy Drama Music Romance,house party 2,Comedy Drama Music Romance house party 2 William Schallert Tisha Campbell-Martin Helen Martin George Jackson
George Miller,Tony Bonner,Jack Thompson,Tom Burlinson,Adventure Drama Family Romance Western,the man from snowy river,Adventure Drama Family Romance Western the man from snowy river Tony Bonner Jack Thompson Tom Burlinson George Miller
Maurice Joyce,Frank Welker,Constance Shulman,Alice Playten,Animation Comedy Family,doug's 1st movie,Animation Comedy Family doug's 1st movie Frank Welker Constance Shulman Alice Playten Maurice Joyce
Robert Duvall,John Beasley,Todd Allen,June Carter Cash,Drama,the apostle,Drama the apostle John Beasley Todd Allen June Carter Cash Robert Duvall
Frank Perry,Faye Dunaway,Xander Berkeley,Diana Scarwid,Biography Drama,mommie dearest,Biography Drama mommie dearest Faye Dunaway Xander Berkeley Diana Scarwid Frank Perry
Jesse Peretz,Zooey Deschanel,Adam Scott,Steve Coogan,Comedy Drama,our idiot brother,Comedy Drama our idiot brother Zooey Deschanel Adam Scott Steve Coogan Jesse Peretz
Stephen Hopkins,William Hurt,Tony Curran,David Kross,Biography Drama Sport,race,Biography Drama Sport race William Hurt Tony Curran David Kross Stephen Hopkins
Ice Cube,Bernie Mac,Monica Calhoun,Chrystale Wilson,Comedy Drama,the players club,Comedy Drama the players club Bernie Mac Monica Calhoun Chrystale Wilson Ice Cube
Tim Blake Nelson,Mekhi Phifer,Andrew Keegan,John Heard,Drama Romance Thriller,o,Drama Romance Thriller o Mekhi Phifer Andrew Keegan John Heard Tim Blake Nelson
John Erick Dowdle,Ben Feldman,Edwin Hodge,Perdita Weeks,Horror Mystery Thriller,"as above, so below","Horror Mystery Thriller as above, so below Ben Feldman Edwin Hodge Perdita Weeks John Erick Dowdle"
Bille Woodruff,Boris Kodjoe,Cameron Mills,Sharon Leal,Drama Thriller,addicted,Drama Thriller addicted Boris Kodjoe Cameron Mills Sharon Leal Bille Woodruff
Kasi Lemmons,Jurnee Smollett-Bell,Lynn Whitfield,Diahann Carroll,Drama,eve's bayou,Drama eve's bayou Jurnee Smollett-Bell Lynn Whitfield Diahann Carroll Kasi Lemmons
Richard Glatzer,Kristen Stewart,Hunter Parrish,Seth Gilliam,Drama,still alice,Drama still alice Kristen Stewart Hunter Parrish Seth Gilliam Richard Glatzer
Michael Curtiz,Gene Tierney,Peter Ustinov,Jean Simmons,Drama History,the egyptian,Drama History the egyptian Gene Tierney Peter Ustinov Jean Simmons Michael Curtiz
Bruce Malmuth,Sylvester Stallone,Lindsay Wagner,Persis Khambatta,Action Crime Thriller,nighthawks,Action Crime Thriller nighthawks Sylvester Stallone Lindsay Wagner Persis Khambatta Bruce Malmuth
Rob Hedden,Kane Hodder,Peter Mark Richman,Scott Reeves,Adventure Horror,friday the 13th part viii: jason takes manhattan,Adventure Horror friday the 13th part viii: jason takes manhattan Kane Hodder Peter Mark Richman Scott Reeves Rob Hedden
Joel Zwick,Nia Vardalos,Louis Mandylor,Lainie Kazan,Comedy Family Romance,my big fat greek wedding,Comedy Family Romance my big fat greek wedding Nia Vardalos Louis Mandylor Lainie Kazan Joel Zwick
Harmony Korine,James Franco,Heather Morris,Rachel Korine,Crime Drama,spring breakers,Crime Drama spring breakers James Franco Heather Morris Rachel Korine Harmony Korine
Joe Chappelle,Donald Pleasence,Kim Darby,Mitchell Ryan,Horror Thriller,halloween: the curse of michael myers,Horror Thriller halloween: the curse of michael myers Donald Pleasence Kim Darby Mitchell Ryan Joe Chappelle
Alfonso Cuarón,Maribel Verdú,Daniel Giménez Cacho,María Aura,Adventure Comedy Drama Romance,y tu mamá también,Adventure Comedy Drama Romance y tu mamá también Maribel Verdú Daniel Giménez Cacho María Aura Alfonso Cuarón
